what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380616109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380616275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337380623014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337380677128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1337380693065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380695713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380696019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1337380698061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380699724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380700892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380700929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380701793
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337380702196
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1337380703063
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1337380703096
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1337380703113
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1337380703128
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1337380703155
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1337380703184
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1337380703201
