    CÓDIGO | DESCRIÇÃO                                                |  PREÇO U$         
      5027 | ADAPTADOR  PS2 PARA USB                                  |       2.00
     20271 | ADAPTADOR  SOM USB 7.1                                   |      13.00
     45454 | ADAPTADOR  USB 2.0 PARA RJ 45 FY-1207                    |      15.00
      7996 | ADAPTADOR VGA DVI                                        |       4.50
     69001 | ANTIVIRUS PANDA GLOBAL PROTECTION 2011 1PC (G)           |      44.00
     69033 | ANTIVIRUS PANDA GLOBAL PROTECTION 2011 3PC (G)           |      96.00
     68111 | ANTIVIRUS PANDA INTERNET SECURITY 2011 1PC (G)           |      39.00
     68023 | ANTIVIRUS PANDA INTERNET SECURITY 2011 3PC (G)           |      90.00
     24365 | ANTIVIRUS PANDA PARA NOTEBOOK (G)                        |      46.00
     67598 | ANTIVIRUS PANDA PRO 2011 1PC (G)                         |      32.00
     67013 | ANTIVIRUS PANDA PRO 2011 3PC (G)                         |      72.00
     61031 | AP.BAK-DVD BK-DVD-CD610 NEGRO                            |      55.00
     18671 | AP.BAK-DVD BK-DVD7272GPS 7'' NEGRO HONDA                 |     340.00
     87106 | AP.BAK-DVD BK-DVD7575GPS 7'' NEGRO CIVIC                 |     340.00
     76065 | AP.BAK-DVD BK-DVD7676GPS 6.5'' PASSAT PLATA              |     340.00
     78660 | AP.BAK-DVD BK-DVD7866TV 7'' NEGRO                        |     175.00
     78880 | AP.BAK-DVD BK-DVD7888DBT 7'' TV DIG/BLEUTOO NEGRO        |     215.00
     65239 | AP.BOOSTER-CAMERA DE RE CR-052                           |      30.00
     60639 | AP.BOOSTER-CAMERA DE RE CR-60 COROLA                     |      30.00
     83653 | AP.BOOSTER-DVD BDVM-8365MP AUX/USB                       |     110.00
     71435 | AP.BOOSTER-DVD BDVM-CAPTIVA 6.2'' USB/SD/GPS/TV/BT       |     445.00
     78957 | AP.BOOSTER-DVD BDVM-FIT 7'' USB/SD/GPS/TV                |     470.00
     81990 | AP.BOOSTER-DVD BDVM-GOLF 7'' USB/SD/GPS/TV/BT            |     445.00
     55130 | AP.BOOSTER-DVD BDVM-I30 4.3'' USB/SD/GPS/TV              |     450.00
     21844 | AP.JVC CD MP3/WMA KD-R218                                |      61.00
     40034 | AP.JVC-CD MP3/WMA KD-R400 USB                            |      90.00
     41847 | AP.JVC-CD MP3/WMA KD-R418 USB                            |      69.00
     61804 | AP.JVC-CD MP3/WMA KD-R618 USB                            |     104.00
     81044 | AP.JVC-DVD KD-AVX44 USB BLUETOOTH                        |     345.00
     70710 | AP.JVC-DVD KW-AVX710 READ BLUETOOTH/IPOD                 |     390.00
     54810 | AP.JVC-DVD KW-AVX810 USB/SD                              |     435.00
     77779 | AP.LG-DVD LCS700BN BT/MP3/WMA/AUX/USB                    |      92.00
     89004 | AP.LG-DVD LDF900UN MP3/WMA/AUX/USB                       |     128.00
     77359 | AP.LG-TOCA CD LCS300AN MP3/WMA/AUX                       |      58.00
     70451 | AP.M1 MULTIMIDIA DVD TV DIG./GPS/BLUET/C CAPTIVA         |     490.00
     72273 | AP.M1 MULTIMIDIA DVD TV/CAM CIVIC                        |     490.00
     70028 | AP.M1 MULTIMIDIA DVD TV/CAM COROLLA                      |     490.00
     62147 | AP.M1 MULTIMIDIA DVD TV/CAM HILUX                        |     490.00
     55662 | AP.M1 MULTIMIDIA DVD TV/CAM/GPS GOLF                     |     495.00
     62081 | AP.M1 MULTIMIDIA DVD TV/CAM/GPS SANTAFE                  |     490.00
     87974 | AP.MIDI-DVD MD-8797SDV USB/SD NEGRO                      |      72.00
     93010 | AP.MOX-CD MO-3010 MP3/WMA/USB/SD                         |      52.00
     43012 | AP.MOX-CD MO-3012 MP3/WMA/AUX/USB/SD                     |      52.00
     30153 | AP.MOX-CD MO-3015 MP3/WMA/USB/SD                         |      52.00
     30177 | AP.MOX-CD MO-3017 MP3/WMA/USB/SD                         |      52.00
     40105 | AP.MOX-DVD MO-4010 USB/SD                                |      54.00
     44013 | AP.MOX-DVD MO-4013 AUX/USB/SD                            |      54.00
     40168 | AP.MOX-DVD MO-4016 USB/SD                                |      54.00
     40187 | AP.MOX-DVD MO-4018 USB/SD                                |      54.00
     53009 | AP.MOX-DVD MO-5300 3'' AUX/USB/SD/BT                     |      98.00
     54201 | AP.MOX-DVD MO-5420 4.2'' AUX/USB/SD/BT TOUCH             |     125.00
     63506 | AP.MOX-DVD MO-6350 3.5'' AUX/USB/SD/TV                   |     120.00
     64305 | AP.MOX-DVD MO-6430 4.3'' AUX/USB/SD/TV/BT                |     125.00
     87002 | AP.MOX-DVD MO-8700 7'' AUX/USB/SD/TV/BT                  |     173.00
     87113 | AP.MOX-DVD MO-8711 7'' AUX/USB/SD/TV/BT                  |     170.00
     84875 | AP.MOX-DVD MO-G8750 7'' AUX/USB/SD/TV/BT/GPS             |     245.00
     20189 | AP.MOX-RADIO MO-R2018 AUX/USB/SD/MMC                     |      26.00
     77005 | AP.ORANGE-TELA ASSENTO 7'' OR-RS7700 NEGRO               |     125.00
     78026 | AP.ORANGE-TELA ASSENTO 7'' OR-RS7800 + 1 JOYSTICK        |     245.00
     78103 | AP.ORANGE-TELA ASSENTO 7'' OR-RS7810 + 4 JOYSTICK        |     215.00
     11777 | AP.ORANGE-TELA RETROVISOR 7'' OR-RT777DTV NEGRO          |     117.00
     26963 | AP.PIONEER-ALTO F. TS-A6963E 300W                        |      38.00
     69731 | AP.PIONEER-ALTO F. TS-A6973E 400W                        |      43.00
     16974 | AP.PIONEER-ALTO F. TS-A6974S 500W                        |      52.00
     69941 | AP.PIONEER-ALTO F. TS-A6994S 600W                        |      73.00
     13136 | AP.PIONEER-ALTO F. TS-G1313R 130W                        |      26.00
     16132 | AP.PIONEER-ALTO F. TS-G1613R 160W                        |      29.00
     30399 | AP.PIONEER-ALTO F. TS-W309S4 1400W                       |      64.00
     62350 | AP.PIONEER-CD DEH-2350UB MP3/WMA/AUX/USB                 |      82.00
     62508 | AP.PIONEER-CD DEH-6250BT AUX/USB/BLUETOOTH               |     133.00
     53507 | AP.PIONEER-TOCA CD DEH-5350UB AUX/USB                    |     122.00
     50564 | AP.SATEL.-DVD-TV AD500 USB/BLUET TS                      |     190.00
     50018 | AP.SATEL.-DVD-TV AD500 USB/BLUET/GPS TS                  |     255.00
     75070 | AP.X-TECH-CD XT-5070 USB/SD                              |      60.00
     95080 | AP.X-TECH-CD XT-5080 USB/SD                              |      60.00
     34767 | AP.X-TECH-DVD XT-CD767 USB/SD/BLUET                      |     215.00
     91243 | AP.X-TECH-DVD XT-DVD9012 USB/SD                          |      62.00
     90802 | AP.X-TECH-DVD XT-DVD908 USB/SD/MMC                       |      62.00
     50399 | AP.X-TECH-RADIO XT-MP399 MP3/USB/SD                      |      31.00
     78208 | AP.X-TECH-RADIO XT-MP8208 MP3/USB/SD                     |      35.00
     88210 | AP.X-TECH-RADIO XT-MP8210 MP3/USB/SD                     |      35.00
     75060 | AP.X-TECH-TOCA CD XT-5060 AUX/USB/SD                     |      60.00
     81523 | APARELHO DE BARBEAR MORE FITNESS MF-1523 3EM1 110V       |      12.00
     92651 | APARELHO DE BARBEAR MORE FITNESS MF-1536 110V            |      12.00
     51539 | APARELHO DE BARBEAR MORE FITNESS MF-1539 REC.110V        |      20.00
     28431 | APARELHO DE BARBEAR MORE FITNESS MF-284 110V             |      10.00
     16940 | APARELHO DE BARBEAR PHILIPS HQ-6940                      |      39.00
     23566 | APARELHO DE DEPILAR MORE FITNESS MF-235W BIVOLT          |      26.00
     98287 | APARELHO DE DEPILAR MORE FITNESS MF-287  2IN1 (G)        |      15.00
     52202 | APOIO CHOYO PSP/GPS/MOBILE/PALMTOP (B)                   |      10.00
     65814 | AR COND. GREE Q/FRIO  9000BTU 220/60HZ (G)               |     360.00
     18003 | AR COND. MITSUO Q/FRIO 18000BTU 220V/60HZ (G)            |     460.00
     88954 | AR COND. PORTATIL TCL 1200BTU Q/F  110V/60HZ  (G)        |     385.00
     48756 | AR COND. PORTATIL TCL 1200BTU Q/F  220V/60HZ  (G)        |     385.00
     18378 | AR COND. TCL Q/FRIO  18000BTU 220/60HZ (G)               |     440.00
     24897 | AR COND. TCL Q/FRIO  24000BTU 220/60HZ (G)               |     630.00
     94915 | AR FREE COMPRESSOR 9000BTU CSH-09Y4-O 220V-60HZ(G        |     310.00
     32088 | BATERIA MOX MO-9V320 320MAH 9V                           |       4.00
     34008 | BATERIA MOX MO-9V340 340MAH 9V                           |       4.00
     20069 | BATERIA MOX MO-9VALK ALKAL. 9V                           |       3.00
     28089 | BATERIA MOX NI-MH 280MAH 9V NI-CD                        |       5.00
     22901 | BEBEDOURO FC YLR-LW-2-2-90LB 110V/60HZ BLANCO (G)        |     115.00
     21902 | CABO ADAP. APPLE MA591G/B P/BASE DOCK USB (G)            |      30.00
      7963 | CABO ADAP. FONTE 20/24 PINOS                             |       0.60
     30728 | CABO ADAP. GRIFFIN GC17120+CARREGADOR DOCK USB (G)       |      42.00
     45564 | CABO ADAP. PARALELO P/ USB                               |      13.50
     84127 | CABO ADAP. VGA 2 FEMEAS 1 MACHO                          |      12.00
      2085 | CABO AUDIO DIGITAL P/CD-ROM/DVD/GRAVADOR                 |       0.70
     99510 | CABO DVI X 2HDMI                                         |      14.50
     55483 | CABO DVI X VGA + 3RCA                                    |      15.00
     53325 | CABO EXTENCAO PARA USB 3MT                               |       7.00
      9885 | CABO EXTENCAO PARA USB 5MT                               |      11.00
      1652 | CABO FORCA P/ 1 HD SATA                                  |       2.00
     15451 | CABO HD IDE HD/CD ROM/GRAVADOR                           |       1.50
      5911 | CABO HD SATA SERIAL ATA AL-04 (DADOS)                    |       2.00
     25461 | CABO HDMI + 3RCA                                         |      13.00
